,Unnamed: 0,Unnamed: 0.1,tweet_text,tweet_label,claim,tweet_date,num_hashtags,hashtag_text,has_link,polarity,subjective,pos_words,neg_words,misinfo_words,debunk_words,misinfo_hashtags,debunk_hashtags,hyperpartisan,followers,verified
0,0,0,WHO getting comments would like read @WHO @drtedros change name WHO CHO china health organisation #ChinaLiedPeopleDied #WhoCanSave_The_World #Whoareyou #whofunding,IRRELEVANT, ,"Aug 4, 2020 @ 16:22:52.000",4,ChinaLiedPeopleDied WhoCanSave_The_World Whoareyou whofunding,False,positive,True,0,0,7,5,1,1,0,100,False
1,1,0,@WHO @drtedros change name WHO CHO china health organisation #ChinaLiedPeopleDied,IRRELEVANT, ,"Aug 4, 2020 @ 16:22:52.000",1,ChinaLiedPeopleDied,True,neutral,False,0,0,3,2,1,1,0,100,False
2,2,0,many killed dems banned use medications needed treat religion doesnt kill,MISINFO, ,"Aug 4, 2020 @ 16:22:52.000",0,,True,negative,True,0,0,8,6,0,0,0,100,False
3,3,0,need find states prepared governors,COMMENT, ,"Aug 4, 2020 @ 16:22:52.000",0,,True,positive,True,0,0,3,2,0,0,0,100,False
4,4,0,cant stop denying cant fear called conspiracy theorist thats game,COMMENT, ,"Aug 4, 2020 @ 16:22:52.000",0,,True,positive,True,0,0,8,2,0,0,0,100,False
5,5,0,@brianhassine @realdonaldtrump another red flag went tom hanks wife rita wilson suddenly went public,RELEVANT, ,"Aug 4, 2020 @ 16:22:52.000",0,,True,neutral,False,0,0,4,3,0,0,0,100,False
6,6,0,I love #Japan japanese people cheering US secretary state mike pompeo comment holding china accountable see number retweetslikes translation replies etc #StandTogether #COVID19 #WuhanVirus #ChineseVirus #Japan,IRRELEVANT, ,"Aug 4, 2020 @ 16:22:52.000",6,Japan StandTogether COVID19 WuhanVirus ChineseVirus Japan,False,positive,True,0,0,9,6,3,2,0,100,False
7,7,0,japanese people cheering US secretary state mike pompeo comment holding china accountable se,IRRELEVANT, ,"Aug 4, 2020 @ 16:22:52.000",0,,True,positive,True,0,0,5,3,0,0,0,100,False
8,8,0,#ChineseVirus biological attack weak sort evidence available cig look #COVID19 #China didnt warn public likely #pandemic 6 key days #Coronavirus #CCPVirus #LockdownExtended,MISINFO, ,"Aug 4, 2020 @ 16:22:52.000",7,ChineseVirus COVID19 China pandemic Coronavirus CCPVirus LockdownExtended,True,negative,True,0,0,10,6,6,4,0,100,False
9,9,0,lets hope something happens chinese people deserve better government #WarRoomPandemic PREMIERE 8pm ET theres silver lining horrible pandemicits waking world true nature communist party china @washtimess @billgertz discuss #CCPvirus origins new cold war #CCP,MISINFO, ,"Aug 4, 2020 @ 16:22:52.000",3,WarRoomPandemic CCPvirus CCP,True,positive,True,0,0,17,13,3,0,0,100,False
